GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-simple-jpa,example.springdata.jpa.simple,Customer,17,3,0,0,7,1,5,1,5,1
spring-simple-jpa,example.springdata.jpa.simple,SimpleUserService,16,8,0,0,4,2,1,2,1,2
spring-simple-jpa,example.springdata.jpa.simple,JPAMain,28,8,0,0,7,2,1,2,1,2
spring-simple-jpa,example.springdata.jpa.simple,User,7,31,0,0,2,14,2,8,2,8
spring-simple-jpa,example.springdata.jpa.simple,SimpleUserController,0,3,0,0,0,1,0,1,0,1
